timestamp,elapsed_time,slam_mode,num_points,density_3d,density_2d,coverage_2d,volume,bbox_x,bbox_y,bbox_z,z_range_min,z_range_max
40.6,40.6,rgbd,2890,9.770333074096643,21.043680747301114,137.33339,295.7934,14.496160507202148,9.473776817321777,2.153834581375122,-0.15306514501571655,2.0007693767547607
41.1,41.1,rgbd,28096,21.726708720657193,79.10112161840779,355.19092,1293.1549,19.63348960876465,18.091073989868164,3.6407320499420166,-1.6449391841888428,1.9957928657531738
42.6,42.6,rgbd,3103,10.489749552959207,22.59318498833168,137.3423,295.8126,14.497100830078125,9.473776817321777,2.153834581375122,-0.15306514501571655,2.0007693767547607
43.1,43.1,rgbd,28342,21.916941150372516,79.79370689453708,355.19092,1293.1549,19.63348960876465,18.091073989868164,3.6407320499420166,-1.6449391841888428,1.9957928657531738
44.6,44.6,rgbd,3375,11.40823024092913,24.571440632682602,137.35458,295.83905,14.498397827148438,9.473776817321777,2.153834581375122,-0.15306514501571655,2.0007693767547607
45.1,45.1,rgbd,28538,22.068508452096918,80.34552280559943,355.19092,1293.1549,19.63348960876465,18.091073989868164,3.6407320499420166,-1.6449391841888428,1.9957928657531738
46.6,46.6,rgbd,3711,10.794740315856238,23.250084963671878,159.61232,343.77853,14.501934051513672,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
47.1,47.1,rgbd,28832,22.181825387620286,80.75808023605981,357.0169,1299.8029,19.63348960876465,18.184078216552734,3.6407320499420166,-1.6449391841888428,1.9957928657531738
48.6,48.6,rgbd,4238,12.32619287440544,26.54858136419403,159.63188,343.82068,14.503711700439453,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
49.1,49.1,rgbd,29131,22.41186027215478,81.59557558811939,357.0169,1299.8029,19.63348960876465,18.184078216552734,3.6407320499420166,-1.6449391841888428,1.9957928657531738
50.5,50.5,rgbd,4445,12.927616359078995,27.843946783782183,159.63972,343.83755,14.504424095153809,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
51.1,51.1,rgbd,29309,22.548804116459593,82.0941514164358,357.0169,1299.8029,19.63348960876465,18.184078216552734,3.6407320499420166,-1.6449391841888428,1.9957928657531738
52.6,52.6,rgbd,4491,13.059832154531566,28.12871871059182,159.65889,343.87885,14.506165504455566,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
53.0,53.0,rgbd,29371,22.596503657734303,82.26781266000668,357.0169,1299.8029,19.63348960876465,18.184078216552734,3.6407320499420166,-1.6449391841888428,1.9957928657531738
54.6,54.6,rgbd,4517,13.104826799131793,28.225629509504714,160.03186,344.68216,14.54005241394043,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
55.0,55.0,rgbd,29413,22.628816250210722,82.38545414758696,357.0169,1299.8029,19.63348960876465,18.184078216552734,3.6407320499420166,-1.6449391841888428,1.9957928657531738
56.6,56.6,rgbd,4618,13.397850378213553,28.856753835486554,160.03186,344.68216,14.54005241394043,11.006278038024902,2.153834581375122,-0.15306514501571655,2.0007693767547607
58.0,58.0,rgbd,30917,40.29961590213989,98.4494307970998,314.0394,767.1785,16.723508834838867,18.7783203125,2.442937135696411,-0.44282984733581543,2.0001072883605957
58.6,58.6,rgbd,4570,8.63742162716941,30.687422941913177,148.92094,529.0931,15.572555541992188,9.563037872314453,3.5528452396392822,-1.0935471057891846,2.4592981338500977
59.1,59.1,rgbd,30958,35.606944765612965,99.033336795747,312.6018,869.43713,16.42827606201172,19.028278350830078,2.781292676925659,-0.7026557922363281,2.078636884689331
60.6,60.6,rgbd,4661,8.795706050940485,30.204275244142657,154.3159,529.91766,15.142786979675293,10.190719604492188,3.4339795112609863,-1.004747748374939,2.429231643676758
61.1,61.1,rgbd,31137,34.43626489137106,99.6646300955183,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
62.7,62.7,rgbd,4749,6.7632819637883435,30.70851522384484,154.64766,702.1739,15.035324096679688,10.285621643066406,4.540475368499756,-1.7351770401000977,2.805298328399658
63.2,63.2,rgbd,31185,34.489350953444664,99.8182705311603,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
64.7,64.7,rgbd,4812,6.853003329069174,31.115892873687383,154.64766,702.1739,15.035324096679688,10.285621643066406,4.540475368499756,-1.7351770401000977,2.805298328399658
65.2,65.2,rgbd,31276,34.5899932794592,100.10954719039826,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
66.7,66.7,rgbd,4885,6.956966180902517,31.587933642552546,154.64766,702.1739,15.035324096679688,10.285621643066406,4.540475368499756,-1.7351770401000977,2.805298328399658
67.1,67.1,rgbd,31368,34.69174156510028,100.40402469204541,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
68.7,68.7,rgbd,4952,6.984497215793481,31.7129364758756,156.15079,708.9988,15.181463241577148,10.285621643066406,4.540475368499756,-1.7351770401000977,2.805298328399658
69.1,69.1,rgbd,31423,34.75256934455962,100.58007102455187,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
70.7,70.7,rgbd,5025,6.826637231746596,30.996178261457214,162.11676,736.08716,15.320028305053711,10.582014083862305,4.540475368499756,-1.7351770401000977,2.805298328399658
71.1,71.1,rgbd,31496,34.83330439729656,100.81373252042408,312.41776,904.19214,16.367053985595703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
72.7,72.7,rgbd,5198,5.591297841871717,25.38715009270447,204.74925,929.65894,17.01903533935547,12.03060245513916,4.540475368499756,-1.7351770401000977,2.805298328399658
73.1,73.1,rgbd,31634,31.55829399492331,91.33527232343194,346.3503,1002.3989,18.144725799560547,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
74.8,74.8,rgbd,5310,5.517549648188908,25.052297968984913,211.9566,962.3837,17.01903533935547,12.454090118408203,4.540475368499756,-1.7351770401000977,2.805298328399658
75.2,75.2,rgbd,31726,31.650073821930107,91.60089934036802,346.3503,1002.3989,18.144725799560547,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
76.9,76.9,rgbd,5572,4.91470447218728,22.315094370869122,249.69646,1133.7406,17.01903533935547,14.671598434448242,4.540475368499756,-1.7351770401000977,2.805298328399658
77.4,77.4,rgbd,31942,31.865556894033016,92.22454538013096,346.3503,1002.3989,18.144725799560547,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
78.8,78.8,rgbd,5791,4.7516192508407,21.57461065317492,268.41736,1218.7424,17.008621215820312,15.78125286102295,4.540475368499756,-1.7351770401000977,2.805298328399658
79.3,79.3,rgbd,32174,31.860478424410765,92.20985003664683,348.9215,1009.84045,18.27942657470703,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
80.8,80.8,rgbd,5996,4.699692601619047,21.33883842267374,280.99,1275.8281,17.5447998046875,16.01557159423828,4.540475368499756,-1.7351770401000977,2.805298328399658
81.2,81.2,rgbd,32445,31.17703983711285,90.2318572188778,359.57367,1040.6697,18.837474822998047,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
82.8,82.8,rgbd,6257,4.8786786033920855,22.15152018686722,282.46368,1282.5194,17.636816024780273,16.01557159423828,4.540475368499756,-1.7351770401000977,2.805298328399658
83.2,83.2,rgbd,32692,31.414387004311706,90.91878182153039,359.57367,1040.6697,18.837474822998047,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
84.8,84.8,rgbd,6487,4.7093790114217375,21.382820110548547,303.3744,1377.464,17.8814754486084,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
85.2,85.2,rgbd,32877,31.334848835468193,90.68858362677886,362.52634,1049.2152,18.99216079711914,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
86.9,86.9,rgbd,6699,4.726556830347415,21.46081557477259,312.1503,1417.3108,18.398744583129883,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
87.3,87.3,rgbd,33158,29.943503492504156,86.6617845627965,382.61386,1107.352,20.044513702392578,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
88.9,88.9,rgbd,6967,4.708834500084567,21.380346347241996,325.86002,1479.5593,19.206823348999023,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
89.2,89.2,rgbd,33418,29.869182355901188,86.44668065866271,386.57355,1118.812,20.251955032348633,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
90.9,90.9,rgbd,7300,4.9320402826395835,22.393807791001713,325.98297,1480.1177,19.214069366455078,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
91.3,91.3,rgbd,33631,29.908501454687567,86.5604805697741,388.52603,1124.4629,20.3542423248291,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
92.8,92.8,rgbd,7458,5.042586360241902,22.89573960078754,325.73746,1479.0029,19.19959831237793,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
93.2,93.2,rgbd,33747,30.011661817708106,86.85904486301824,388.52603,1124.4629,20.3542423248291,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
94.8,94.8,rgbd,7500,5.070983869913417,23.024677796447644,325.73746,1479.0029,19.19959831237793,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
95.2,95.2,rgbd,33769,30.03122671414304,86.91566912553006,388.52603,1124.4629,20.3542423248291,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
96.9,96.9,rgbd,7504,5.073688394644037,23.03695762460575,325.73746,1479.0029,19.19959831237793,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
97.2,97.2,rgbd,33774,30.03567328151461,86.92853827610094,388.52603,1124.4629,20.3542423248291,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
98.8,98.8,rgbd,7564,5.114256265603345,23.221155046977334,325.73746,1479.0029,19.19959831237793,16.96584701538086,4.540475368499756,-1.7351770401000977,2.805298328399658
99.2,99.2,rgbd,33930,30.174406183507752,87.33005577391202,388.52603,1124.4629,20.3542423248291,19.08820915222168,2.894176483154297,-0.786216676235199,2.107959747314453
100.8,100.8,rgbd,7789,5.066821226282536,23.182701485081065,335.98328,1537.2557,19.200965881347656,17.498249053955078,4.5753936767578125,-1.7718284130096436,2.803565502166748
101.2,101.2,rgbd,34084,29.9675450485356,87.93613282880057,387.5995,1137.3638,20.329866409301758,19.065521240234375,2.9343788623809814,-0.8232046961784363,2.1111741065979004
102.8,102.8,rgbd,7939,5.164970669011472,23.620482458820465,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
103.2,103.2,rgbd,34285,31.10642256235982,88.10649030899948,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
104.9,104.9,rgbd,8006,5.2085596644546985,23.819823978500647,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
105.3,105.3,rgbd,34362,31.17628385847479,88.30436692424793,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
106.9,106.9,rgbd,8101,5.270364956501063,24.102472401927773,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
107.3,107.3,rgbd,34476,31.27971486830734,88.59732710786251,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
108.8,108.8,rgbd,8174,5.317857444073533,24.3196654009823,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
109.2,109.2,rgbd,34558,31.354112612221982,88.80805285397125,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
110.9,110.9,rgbd,8239,5.360145275473677,24.513056427537702,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
111.2,111.2,rgbd,34668,31.453914463814797,89.09073373289759,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
112.9,112.9,rgbd,8354,5.434962207950855,24.855209782212643,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
113.3,113.3,rgbd,34734,31.513795574770484,89.26034226025341,389.13138,1102.184,20.37932014465332,19.094423294067383,2.83242130279541,-0.7108023762702942,2.1216189861297607
115.0,115.0,rgbd,8499,5.529296601074255,25.286620533759304,336.1066,1537.0852,19.173072814941406,17.53013801574707,4.573207378387451,-1.8076307773590088,2.7655766010284424
